Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2020,4,Corrientes,994,"3.777,00"
2020,4,Entre Ríos,1.555,"5.201,00"
2020,4,Formosa,981,"3.856,00"
2020,4,Jujuy,1.417,"5.540,00"
2020,4,La Pampa,2.211,"6.711,00"
2020,4,La Rioja,599,"2.250,00"
2020,4,Mendoza,533,"1.909,00"
2020,4,Misiones,1.093,"4.012,00"
2020,4,Neuquén,1.191,"4.000,00"
2020,4,Río Negro,1.484,"4.823,00"
2020,4,Salta,1.424,"5.878,00"
2020,4,San Juan,430,"1.689,00"
2020,4,San Luis,896,"3.132,00"
2020,4,Santa Cruz,1.200,"4.033,00"
2020,4,Santa Fe,1.930,"6.138,00"
2020,4,Santiago Del Estero,940,"3.787,00"
2020,4,Tierra Del Fuego,2.422,"8.171,00"
2020,4,Tucumán,652,"2.634,00"
2020,3,Buenos Aires,1.680,"5.073,00"
2020,3,Capital Federal,2.410,"5.816,00"
2020,3,Catamarca,980,"3.854,00"
2020,3,Chaco,994,"3.719,00"
2020,3,Chubut,1.061,"3.461,00"
2020,3,Córdoba,2.904,"9.486,00"
2020,3,Corrientes,1.016,"3.859,00"
2020,3,Entre Ríos,1.694,"5.666,00"
2020,3,Formosa,993,"3.901,00"
2020,3,Jujuy,1.415,"5.533,00"
2020,3,La Pampa,2.208,"6.701,00"
2020,3,La Rioja,499,"1.874,00"
2020,3,Mendoza,527,"1.887,00"
2020,3,Misiones,1.092,"4.008,00"
2020,3,Neuquén,1.205,"4.047,00"
2020,3,Río Negro,1.501,"4.881,00"
2020,3,Salta,1.428,"5.897,00"
2020,3,San Juan,430,"1.689,00"
2020,3,San Luis,899,"3.141,00"
2020,3,Santa Cruz,1.214,"4.080,00"
2020,3,Santa Fe,1.949,"6.198,00"
2020,3,Santiago Del Estero,935,"3.766,00"
2020,3,Tierra Del Fuego,2.435,"8.213,00"
2020,3,Tucumán,648,"2.618,00"
2020,2,Buenos Aires,1.663,"5.034,00"
